,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
200,4,1.874,0.529,0.124,2.456,6.5,0.5,[ 5 15  4  4],1.197979600615819,69.16,0.5552
201,4,2.007,0.528,0.114,2.984,5.75,0.5,[15  5  4  4],1.197979600615819,66.34,0.5805
202,4,1.763,0.281,0.099,2.038,4.75,0.5,[16  6  4  2],1.1163670752893367,60.67,0.3286
203,4,2.479,0.327,0.064,2.07,5.0,0.25,[14  5  6  3],1.223619300955319,72.38,0.4917
204,4,2.038,0.589,0.084,2.727,6.5,0.0,[ 7 10  6  5],1.3520270690728295,54.74,0.6836
205,3,2.19,0.192,0.064,1.339,4.0,1.0,[23  4  1],0.558577924073418,78.73,0.3278
206,4,1.732,0.36,0.105,2.242,4.0,0.25,[13  5  8  2],1.2102988707563092,54.58,0.39669999999999994
207,4,2.061,0.165,0.111,2.186,2.5,0.5,[18  5  3  2],1.0194897804814294,63.68,0.2268
208,3,1.878,0.346,0.121,2.25,5.333,0.0,[16  6  6],0.9799711820833054,77.53,0.37649999999999995
209,4,1.409,0.339,0.106,1.842,5.0,0.5,[18  4  5  1],0.9886667012901671,64.74,0.3421
210,4,2.134,0.324,0.129,2.743,4.5,0.25,[14  5  3  6],1.223619300955319,58.46,0.3697
211,4,2.117,0.509,0.102,2.488,5.5,0.25,[15  3  5  5],1.188955617072401,59.17,0.5881000000000001
212,4,1.701,0.339,0.155,2.791,4.5,0.5,[16  6  4  2],1.1163670752893367,73.61,0.3076
213,4,2.117,0.542,0.099,2.183,6.75,0.5,[ 8 12  4  4],1.277034259466139,57.85,0.625
214,4,1.992,0.493,0.091,2.841,5.0,0.0,[9 5 6 8],1.3604795134965078,56.57,0.5739
215,4,1.86,0.528,0.094,2.689,6.5,0.25,[13  7  6  2],1.221398657786797,56.81,0.5918000000000001
216,3,2.286,0.381,0.095,2.205,6.0,0.0,[15  6  7],1.0110373360577514,64.44,0.4861
217,3,1.943,0.396,0.05,1.562,5.0,0.3333333333333333,[ 3 20  5],0.787287656630395,73.36,0.5253
218,4,2.519,0.557,0.045,2.482,6.5,0.5,[15  5  4  4],1.197979600615819,59.65,0.7504000000000001
219,4,2.05,0.275,0.049,1.929,4.0,0.5,[17  4  6  1],1.0300487562893623,64.44,0.4163
220,4,1.715,0.264,0.104,2.14,4.0,0.5,[15  7  4  2],1.1474332292637826,69.52,0.3003
221,3,2.405,0.497,0.136,1.872,7.333,0.3333333333333333,[17  9  2],0.8562779956715776,69.49,0.5607
222,4,2.117,0.507,0.105,2.627,6.25,0.25,[ 5 13  6  4],1.2719450291388334,63.81,0.5822
223,4,1.715,0.341,0.103,2.083,4.25,0.5,[16  6  4  2],1.1163670752893367,57.41,0.37860000000000005
224,4,1.755,0.361,0.147,2.692,4.25,0.5,[16  5  3  4],1.1447179591576722,61.63,0.3454
225,3,1.943,0.389,0.059,1.813,7.0,0.3333333333333333,[16  8  4],0.9556998911125343,72.76,0.5066
226,4,1.457,0.368,0.113,2.092,4.25,0.5,[18  6  3  1],0.9724514629072174,75.49,0.3668
227,3,1.926,0.324,0.166,2.125,5.333,0.3333333333333333,[12 14  2],0.8982053397041498,86.23,0.30079999999999996
228,4,2.368,0.49,0.045,2.095,6.0,0.25,[ 5 12 10  1],1.157493071262098,59.24,0.6683
229,3,1.943,0.358,0.122,2.194,4.667,0.0,[17  6  5],0.9406911806575431,73.37,0.3937
