,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,5,2.252,0.17,0.157,2.577,4.4,0.8,[61  3  4  5  1],0.6871528014848943,833.58,0.2382
1,3,2.969,0.052,0.12,2.437,3.667,1.0,[38 32  4],0.8624840066680418,611.64,0.2289
2,4,2.446,0.142,0.131,2.286,4.25,0.75,[65  5  3  1],0.4840894314286124,439.28,0.2556
3,5,2.262,0.284,0.125,3.832,7.6,0.6,[32 28  3  6  5],1.2459724118793032,565.56,0.3852
4,4,2.128,0.092,0.177,3.018,2.75,1.0,[67  3  2  2],0.41510791634688815,749.69,0.12780000000000002
5,5,2.43,0.224,0.17,4.12,6.2,0.8,[23  7 38  3  3],1.1884206903478327,431.22,0.29700000000000004
6,3,2.205,0.024,0.187,2.654,1.667,1.0,[68  3  3],0.33760296233952225,613.11,0.057499999999999996
7,5,1.449,0.008,0.004,1.0,0.8,1.0,[68  3  1  1  1],0.3821412983666077,442.43,0.1489
8,5,2.061,0.122,0.241,2.491,4.0,1.0,[66  2  2  2  2],0.4924111686335798,417.43,0.08710000000000001
9,5,2.04,0.091,0.204,3.15,2.4,1.0,[63  2  3  4  2],0.6198611635367341,508.16,0.09100000000000003
10,4,1.547,0.04,0.194,3.505,1.0,0.75,[63  3  3  5],0.5789792681116601,339.22,0.0007000000000000062
11,4,2.155,0.042,0.042,2.4,0.75,0.75,[58  4  9  3],0.7348525240392754,391.87,0.21549999999999997
12,4,1.37,0.004,0.187,3.467,0.5,1.0,[65  4  3  2],0.4991666984093023,354.59,-0.045999999999999985
13,4,1.37,0.006,0.103,2.409,0.75,0.75,[65  6  2  1],0.473362069964918,443.55,0.04000000000000002
14,5,2.112,0.384,0.119,2.957,8.6,0.6,[14 52  2  5  1],0.9007548242293286,581.22,0.4762
15,5,2.174,0.109,0.221,4.236,3.4,0.6,[57  6  5  3  3],0.8467226286620502,200.1,0.10539999999999998
16,3,3.829,0.26,0.091,2.111,12.333,0.6666666666666666,[22  5 47],0.8309967037930049,442.05,0.5519000000000001
17,3,1.465,0.0,0.01,1.0,0.0,1.0,[72  1  1],0.1429845449723321,444.75,0.1365
18,4,2.563,0.113,0.178,3.04,4.5,0.75,[62  5  3  4],0.6179767723197094,318.32,0.19130000000000003
19,5,1.886,0.248,0.064,2.279,7.6,1.0,[24 44  4  1  1],0.9483514004307407,372.89,0.3726
20,5,2.621,0.234,0.183,3.167,7.6,1.0,[21  4 43  2  4],1.085913398378574,287.56,0.31310000000000004
21,5,2.557,0.379,0.166,3.412,10.4,1.0,[23 40  3  4  4],1.1411227028542865,416.67,0.4687
22,4,2.449,0.093,0.047,1.972,4.0,0.75,[59  8  3  4],0.7087778521993044,368.79,0.2909
23,3,2.201,0.034,0.187,2.563,1.667,1.0,[68  3  3],0.33760296233952225,629.08,0.06710000000000002
24,4,2.072,0.252,0.141,3.131,8.25,1.0,[28 41  3  2],0.922439252029757,438.94,0.31820000000000004
25,3,1.835,0.01,0.142,2.649,1.333,1.0,[67  3  4],0.37764050118148573,449.92,0.05150000000000002
26,4,2.197,0.061,0.234,3.171,3.0,0.75,[62  3  5  4],0.6179767723197094,251.03,0.04669999999999999
27,4,1.651,0.065,0.17,2.871,2.25,0.75,[64  5  2  3],0.5351753888215518,310.09,0.06009999999999999
28,4,1.645,0.04,0.189,3.124,2.25,1.0,[64  4  2  4],0.5385898690812235,320.77,0.015500000000000014
29,4,1.651,0.045,0.209,3.287,2.0,0.75,[64  5  3  2],0.5351753888215519,433.79,0.0011000000000000176
30,3,2.463,0.004,0.057,1.909,0.333,0.6666666666666666,[64  6  4],0.4869806121924549,619.64,0.19330000000000003
31,5,2.093,0.091,0.111,3.089,2.4,0.8,[59  6  3  4  2],0.7695708408067433,348.38,0.18929999999999997
32,4,1.913,0.013,0.134,3.476,1.25,0.5,[59  4  6  5],0.724097079522334,250.38,0.07029999999999999
33,5,2.171,0.096,0.17,4.177,3.6,0.6,[55  6  6  4  3],0.9156130238932718,340.62,0.14309999999999998
34,4,2.372,0.39,0.143,2.824,11.5,1.0,[46 22  4  2],0.911471714582808,395.6,0.4842
35,5,2.156,0.092,0.099,2.295,3.4,0.4,[57  5  5  2  5],0.8448517781474028,302.13,0.2086
36,4,2.435,0.093,0.121,2.962,4.0,0.75,[57 10  3  4],0.7591895863529035,370.82,0.2155
37,5,1.954,0.107,0.163,4.095,2.8,0.6,[58  5  3  3  5],0.814987424717116,409.41,0.13939999999999997
38,5,2.093,0.104,0.148,3.84,3.4,0.6,[56  6  4  6  2],0.8736288754000553,333.7,0.1653
39,5,1.536,0.038,0.174,4.338,1.4,0.8,[61  3  5  2  3],0.6988155882059124,349.62,0.017600000000000032
40,4,2.299,0.24,0.128,3.162,8.0,0.5,[11 55  6  2],0.8051863855682753,454.45,0.3419
41,3,2.559,0.002,0.078,1.909,0.333,0.3333333333333333,[62  5  7],0.5533773570102053,584.13,0.1799
42,5,2.286,0.197,0.202,3.991,6.0,1.0,[26 40  3  3  2],1.0575291979846493,318.56,0.2236
43,5,2.297,0.081,0.138,4.37,2.4,0.4,[52  5  7  6  4],1.0144844414252534,308.99,0.17270000000000002
44,4,1.809,0.008,0.053,1.849,0.75,1.0,[67  4  2  1],0.40344512962587004,460.04,0.13590000000000002
45,5,1.457,0.048,0.121,3.363,1.2,0.8,[62  2  3  2  5],0.6554441874851118,322.07,0.0727
46,3,2.193,0.014,0.162,2.996,0.333,0.6666666666666666,[64  3  7],0.4785823196310546,507.97,0.0713
47,4,2.657,0.105,0.164,3.18,4.0,0.75,[61  4  7  2],0.6376306531560801,487.68,0.2067
48,4,2.439,0.071,0.168,3.284,3.0,0.75,[61  6  4  3],0.6506208115768155,389.04,0.14689999999999998
49,4,2.449,0.102,0.182,3.12,3.25,0.75,[64  3  2  5],0.5351753888215518,237.99,0.1649
50,3,2.799,0.058,0.103,2.395,3.667,0.3333333333333333,[62  7  5],0.5533773570102053,339.27,0.2349
51,3,2.904,0.055,0.094,2.691,2.667,0.3333333333333333,[60  8  6],0.6142439731753446,449.32,0.2514
52,4,2.712,0.215,0.024,1.663,7.0,1.0,[35 32  4  3],1.004311777633837,434.3,0.4622
53,3,1.835,0.014,0.119,1.996,0.333,1.0,[70  3  1],0.24067990658985275,485.11,0.0785
54,3,2.899,0.06,0.12,2.446,3.0,0.6666666666666666,[63  7  4],0.5177943330618276,340.71,0.2299
55,3,2.573,0.044,0.064,2.309,1.333,0.6666666666666666,[62  3  9],0.5344273913821971,560.26,0.23729999999999996
56,4,2.322,0.029,0.112,2.246,1.25,1.0,[67  2  4  1],0.40344512962587004,283.77,0.1492
57,4,2.439,0.082,0.188,3.142,3.25,0.5,[60  4  5  5],0.6918998188508372,317.23,0.13790000000000002
58,5,1.659,0.008,0.119,3.746,0.6,0.8,[57  4  7  4  2],0.8371469505009863,448.1,0.054900000000000004
59,3,1.839,0.018,0.198,2.496,1.0,1.0,[69  3  2],0.29277482233477625,468.23,0.003899999999999987
60,3,2.899,0.074,0.074,1.87,4.333,0.6666666666666666,[64  6  4],0.4869806121924549,415.04,0.2899
61,3,2.189,0.035,0.111,2.515,2.0,0.6666666666666666,[60 12  2],0.562634716286576,304.2,0.14290000000000003
62,4,2.26,0.267,0.161,3.172,9.5,1.0,[26 42  3  3],0.9488717460627014,364.8,0.33199999999999996
63,4,2.609,0.308,0.134,3.497,10.25,0.5,[19 46  4  5],0.9844135817269967,463.07,0.4349
64,5,2.479,0.127,0.189,2.858,3.2,1.0,[65  2  2  2  3],0.5366341135747046,424.22,0.1859
65,5,2.225,0.163,0.094,3.339,4.2,0.8,[36 30  2  5  1],1.0543882397234263,477.04,0.2915
66,4,1.916,0.034,0.167,3.616,2.0,0.5,[60  5  4  5],0.6918998188508372,426.37,0.058599999999999985
67,4,2.172,0.035,0.021,1.563,1.25,0.75,[63  6  3  2],0.5682519066479657,462.66,0.23120000000000002
68,4,1.91,0.03,0.18,3.701,1.5,0.75,[60  6  4  4],0.6891788035061495,461.77,0.04100000000000001
69,5,2.328,0.309,0.172,4.218,8.4,0.6,[20 41  6  3  4],1.1721371022337823,353.7,0.3698
70,3,2.201,0.034,0.187,2.563,1.667,1.0,[68  3  3],0.33760296233952225,424.9,0.06710000000000002
71,5,1.674,0.051,0.177,4.058,2.0,0.8,[59  5  3  4  3],0.7802982022704377,279.29,0.04139999999999999
72,4,1.991,0.076,0.131,3.373,3.25,0.75,[58  4  8  4],0.7468815549056544,343.95,0.1441
73,3,3.995,0.334,0.129,2.04,13.667,0.6666666666666666,[20 51  3],0.740097666095727,570.66,0.6045
74,5,1.578,0.006,0.133,3.496,0.6,0.8,[60  4  6  2  2],0.726646218671552,471.8,0.030799999999999994
75,5,2.573,0.283,0.163,3.471,7.8,1.0,[40 28  2  2  2],0.9930409373552124,414.35,0.37729999999999997
76,4,2.327,0.095,0.08,2.426,4.0,0.75,[62  6  4  2],0.6072494108560149,498.09,0.24769999999999998
77,5,1.695,0.048,0.046,2.285,1.0,0.6,[60  5  5  3  1],0.7222963131545567,302.89,0.1715
78,5,2.709,0.168,0.169,3.997,4.8,0.8,[27  4  6  4 33],1.2471291930036537,253.89,0.26990000000000003
79,5,1.761,0.008,0.094,2.746,0.6,1.0,[61  4  4  2  3],0.7022300684655842,464.58,0.09009999999999999
80,5,1.523,0.004,0.131,3.5,0.4,1.0,[63  4  2  4  1],0.6081983768157161,284.47,0.02529999999999999
81,4,3.036,0.125,0.195,2.774,4.25,0.75,[63  5  3  3],0.5789792681116601,315.54,0.23359999999999997
82,4,2.327,0.042,0.035,1.4,0.75,0.75,[61  3  6  4],0.6506208115768156,335.85,0.2397
83,3,2.419,0.0,0.011,1.0,0.0,0.6666666666666666,[66  6  2],0.4033344965794089,470.76,0.2309
84,3,3.146,0.154,0.055,2.595,8.0,0.6666666666666666,[29 37  8],0.9541857125165651,545.44,0.41359999999999997
85,4,1.919,0.052,0.186,3.355,2.25,1.0,[64  3  3  4],0.5431817349405587,299.92,0.05790000000000001
86,5,1.719,0.028,0.08,2.5,0.4,0.8,[61  2  7  2  2],0.6750980683214826,355.23,0.11989999999999999
87,4,2.502,0.09,0.156,2.996,2.25,0.75,[61  7  3  3],0.6422225190154152,438.72,0.18419999999999997
88,5,2.137,0.127,0.157,3.804,3.6,0.4,[56  5  5  3  5],0.8870772522084374,270.66,0.1837
89,3,2.197,0.012,0.131,2.784,1.667,0.6666666666666666,[66  5  3],0.4140618580431033,435.35,0.1007
90,3,2.205,0.026,0.114,1.992,2.0,1.0,[67  3  4],0.37764050118148573,441.19,0.1325
91,4,2.682,0.128,0.132,3.185,4.5,0.75,[26  7 39  2],1.0257261797971182,214.93,0.2642
92,3,2.189,0.027,0.155,2.706,1.667,0.6666666666666666,[64  6  4],0.4869806121924549,269.63,0.09090000000000001
93,5,2.329,0.312,0.104,3.717,8.4,0.6,[37 23  5  4  5],1.2316341972173142,216.71,0.44090000000000007
94,4,2.551,0.317,0.15,3.257,9.5,0.75,[23 43  3  5],0.9906732233478392,386.27,0.42210000000000003
95,4,2.436,0.059,0.159,3.686,2.25,0.5,[57  7  7  3],0.7771394010508175,232.6,0.14359999999999998
96,5,2.224,0.272,0.131,3.099,7.4,0.8,[37 25  5  3  4],1.1829291166880114,269.4,0.36340000000000006
97,4,2.289,0.052,0.032,1.967,1.75,0.5,[58  4  7  5],0.7538024896672836,379.9,0.2489
98,4,1.642,0.03,0.179,3.373,1.5,0.75,[62  6  4  2],0.6072494108560149,220.01,0.015199999999999991
99,5,1.792,0.004,0.144,4.576,0.4,0.6,[55  4  7  3  5],0.9133502269362308,322.96,0.03920000000000001
