,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
100,4,3.079,0.27,0.104,1.937,3.5,1.0,[ 3 29  3  2],0.7560652866243246,145.22,0.45310000000000006
101,3,3.414,0.381,0.052,1.994,7.0,0.6666666666666666,[ 6 27  4],0.7654225169154467,105.04,0.66
102,4,2.709,0.198,0.213,3.118,2.75,1.0,[ 3 28  3  3],0.8220196185112868,127.09,0.21330000000000005
103,4,3.064,0.477,0.107,2.507,6.75,0.75,[ 4 22  8  3],1.0844454635143452,102.28,0.655
104,3,3.341,0.314,0.095,2.439,5.333,0.0,[ 5 20 12],0.9681958901927021,111.02,0.5341
105,3,3.44,0.183,0.143,2.832,3.333,0.6666666666666666,[27  7  3],0.7486259317926459,158.08,0.3554
106,3,2.963,0.175,0.135,2.228,2.667,1.0,[ 2 32  3],0.48698061219245503,134.98,0.3093
107,4,3.106,0.369,0.152,3.155,4.75,0.75,[22  9  3  3],1.060387401781587,100.2,0.4972
108,3,2.94,0.142,0.156,2.26,3.0,1.0,[ 4 30  3],0.6142439731753446,142.15,0.24879999999999997
109,4,2.744,0.294,0.116,2.423,4.75,0.75,[ 4 24  7  2],0.9939953510945665,115.69,0.4292
110,4,3.04,0.376,0.064,2.173,5.5,0.5,[21  6  9  1],1.0579300963310843,113.75,0.6032
111,3,3.139,0.112,0.229,2.838,2.333,0.6666666666666666,[ 7 28  2],0.6836370561736084,143.31,0.15109999999999996
112,4,3.121,0.215,0.259,3.584,3.25,0.75,[ 4 26  5  2],0.9166159840948057,97.57,0.21629999999999996
113,3,3.106,0.292,0.055,2.004,5.333,0.6666666666666666,[12 23  2],0.8184438281862153,132.58,0.5366
114,4,3.231,0.32,0.11,2.774,5.25,0.5,[22  5  4  6],1.1150839181604042,99.32,0.5111
115,4,3.047,0.311,0.139,2.845,4.5,0.75,[ 4 23  7  3],1.0547354175025614,113.42,0.4489
116,4,2.867,0.312,0.139,3.039,4.5,0.25,[ 6 18 10  3],1.2028385544430331,95.92,0.4319
117,4,3.345,0.464,0.056,2.861,5.75,0.0,[ 6 15  6 10],1.3096282483952983,96.62,0.7313000000000001
118,3,3.202,0.263,0.135,2.52,4.667,0.3333333333333333,[27  5  5],0.7708645476048219,157.51,0.4212
119,4,2.247,0.102,0.269,3.523,1.75,1.0,[30  2  3  2],0.6891788035061496,133.16,0.0038999999999999313
120,3,2.933,0.214,0.123,2.22,4.0,1.0,[ 4 30  3],0.6142439731753446,160.23,0.3597
121,4,2.999,0.259,0.153,2.462,3.75,0.75,[ 5 28  2  2],0.7968231945546029,118.87,0.3753
122,4,3.423,0.478,0.062,2.772,6.75,0.0,[14  6  7 10],1.3313346314736947,114.8,0.7459
123,3,2.647,0.222,0.111,2.699,4.667,0.3333333333333333,[20 15  2],0.856277565381174,134.35,0.35350000000000004
124,3,3.108,0.235,0.129,2.315,5.0,0.6666666666666666,[23 11  3],0.8598624576940395,137.03,0.391
125,3,3.085,0.32,0.102,2.074,6.333,0.6666666666666666,[29  5  3],0.6651177640555062,137.93,0.5061
126,4,2.966,0.256,0.198,3.135,4.0,0.75,[ 4 25  5  3],0.9795638722561323,126.2,0.31500000000000006
127,3,3.342,0.299,0.135,2.58,4.667,0.6666666666666666,[26  7  4],0.8034298457138112,166.57,0.47119999999999995
128,3,2.888,0.193,0.133,2.515,3.333,0.6666666666666666,[27  8  2],0.718771370031374,165.52,0.32220000000000004
129,4,2.976,0.314,0.197,3.324,4.5,0.5,[21  8  2  6],1.1053137315058787,108.77,0.3752
130,3,2.347,0.031,0.256,2.981,0.667,1.0,[33  2  2],0.417476338302775,156.54,-0.04150000000000001
131,4,3.2,0.321,0.132,3.188,4.5,0.5,[23  5  6  3],1.0647030421060188,132.49,0.48260000000000003
132,4,2.498,0.244,0.127,3.036,3.75,0.75,[21 12  2  2],1.0020952177283415,124.13,0.34140000000000004
133,3,3.032,0.401,0.104,2.04,7.0,0.6666666666666666,[25  9  3],0.8124651103811077,106.2,0.5794
134,4,2.247,0.158,0.238,3.199,2.25,1.0,[31  2  2  2],0.621391252579381,139.39,0.09710000000000002
135,3,2.515,0.148,0.192,2.878,3.333,0.6666666666666666,[30  5  2],0.598231280937331,140.99,0.1691
136,4,3.194,0.343,0.194,3.234,4.25,0.5,[23  7  2  5],1.038722725264548,122.38,0.42960000000000004
137,3,3.282,0.071,0.245,2.97,1.0,1.0,[32  2  3],0.48698061219245503,161.06,0.10520000000000002
138,3,2.94,0.191,0.127,1.977,3.667,1.0,[ 3 31  3],0.5556401539672464,157.61,0.3326
139,3,3.002,0.359,0.103,1.88,6.667,0.6666666666666666,[ 2 28  7],0.6836370561736084,128.54,0.5356
140,3,3.483,0.335,0.072,2.26,5.667,0.3333333333333333,[23  7  7],0.9255365868835534,124.45,0.5969
141,4,2.906,0.318,0.207,3.251,4.75,0.5,[ 6 23  2  6],1.0432483191786301,125.99,0.3602000000000001
142,4,2.974,0.555,0.025,1.824,7.5,0.75,[ 3 24  7  3],1.0031790828132368,89.08,0.8224
143,4,1.892,0.132,0.114,2.866,2.0,0.75,[26  8  1  2],0.834368272559978,144.49,0.18439999999999998
144,4,2.11,0.234,0.131,2.108,3.0,1.0,[ 2 31  3  1],0.6072494108560149,158.72,0.2878
