,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,3.299,0.329,0.16,2.303,6.333,0.0,[10  5 11],1.0484854421409806,30.2,0.5388999999999999
1,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,49.37,0.11865000000000003
2,3,2.484,0.279,0.195,2.103,4.333,0.3333333333333333,[18  5  3],0.8207996891635668,33.85,0.38115000000000004
3,2,2.909,0.029,0.017,0.982,1.0,1.0,[24  2],0.2711893730418441,42.83,0.30715
4,3,3.339,0.353,0.178,2.251,6.333,0.3333333333333333,[ 9  4 13],1.0017680654251162,33.38,0.5533999999999999
5,3,2.484,0.391,0.211,1.849,6.0,0.6666666666666666,[19  4  3],0.7663521182273951,40.89,0.48115
6,3,2.492,0.337,0.219,2.109,6.667,0.3333333333333333,[ 8 16  2],0.8587409130062867,37.4,0.42195000000000005
7,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,46.34,0.4054
8,2,3.391,0.138,0.085,1.5,5.0,0.5,[ 5 21],0.4895518936229288,50.8,0.41335
9,3,3.594,0.384,0.152,2.143,6.667,0.3333333333333333,[ 7 15  4],0.9585849416984087,35.07,0.6294
10,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,50.82,0.010149999999999992
11,2,3.379,0.191,0.103,1.626,6.0,0.0,[ 7 19],0.5824922438849605,43.26,0.45165
12,3,2.484,0.432,0.194,2.083,8.0,0.3333333333333333,[15  9  2],0.88186313134152,41.08,0.5348999999999999
13,3,2.484,0.343,0.206,1.993,5.333,0.3333333333333333,[18  5  3],0.8207996891635668,37.36,0.43690000000000007
14,3,2.627,0.192,0.192,1.888,4.0,0.3333333333333333,[ 5 19  2],0.7435648254271451,34.2,0.3107
15,3,2.403,0.285,0.237,2.299,5.667,0.3333333333333333,[16  8  2],0.8587409130062867,39.3,0.34755
16,3,3.463,0.409,0.135,2.114,7.667,0.0,[ 8 13  5],1.0262864017672835,40.72,0.65405
17,2,1.869,0.069,0.183,1.471,1.5,1.0,[23  3],0.3576271598532216,44.07,0.11865000000000003
18,3,3.586,0.314,0.16,1.882,6.0,0.3333333333333333,[ 9  2 15],0.88186313134152,33.27,0.5526
19,3,3.434,0.44,0.099,2.119,8.667,0.0,[14  7  5],1.0036594910918162,36.29,0.7091500000000001
20,3,2.619,0.161,0.194,2.042,3.667,0.3333333333333333,[ 6  2 18],0.7902679680745903,34.08,0.2774
21,3,3.234,0.477,0.082,1.893,9.0,0.0,[ 5 12  9],1.0411315166502328,35.71,0.7389
22,2,3.726,0.304,0.072,1.596,8.0,0.0,[20  6],0.5402041423888608,50.49,0.6226
23,3,2.484,0.229,0.128,2.043,5.0,0.0,[ 9 12  5],1.0411315166502328,33.33,0.3814
24,2,3.605,0.213,0.15,1.64,5.5,0.5,[21  5],0.4895518936229288,47.57,0.46099999999999997
25,3,3.263,0.516,0.083,1.8,9.0,0.0,[15  6  5],0.9727696382494828,36.36,0.7800499999999999
26,3,2.484,0.362,0.135,1.749,6.0,0.6666666666666666,[20  4  2],0.6870920273799715,37.9,0.50915
27,3,2.484,0.35,0.166,2.009,6.667,0.3333333333333333,[14  9  3],0.9497249735351773,39.08,0.4739
28,3,3.49,0.29,0.152,2.006,5.333,0.3333333333333333,[ 7 16  3],0.9012262508973273,34.04,0.525
29,3,3.491,0.394,0.125,2.147,7.0,0.0,[ 6 15  5],0.9727696382494828,37.14,0.6493500000000001
30,2,3.414,0.209,0.075,1.544,6.0,0.0,[ 9 17],0.6450331516760341,46.5,0.49415000000000003
31,2,2.562,0.092,0.112,1.462,2.0,1.0,[22  4],0.4293230219306162,49.02,0.2642
32,3,3.378,0.438,0.128,1.845,6.667,0.3333333333333333,[16  3  7],0.9012262508973273,39.29,0.6798
33,3,2.253,0.296,0.117,1.907,5.333,0.3333333333333333,[ 8 14  4],0.9839614460010255,36.9,0.43355
34,2,3.605,0.268,0.104,1.573,7.0,0.0,[20  6],0.5402041423888608,37.39,0.5505
35,3,3.57,0.43,0.158,2.158,7.667,0.3333333333333333,[12  3 11],0.9699594355506201,38.05,0.6685
36,3,1.246,0.132,0.145,1.921,2.667,1.0,[21  3  2],0.6189772142016319,35.27,0.14785000000000004
37,3,2.711,0.321,0.103,1.379,4.667,1.0,[22  3  1],0.5158361211027406,38.82,0.51485
38,3,3.243,0.356,-0.035,0.902,6.667,0.6666666666666666,[20  3  3],0.7001611840565405,32.28,0.70655
