,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,2,3.726,0.218,0.056,1.353,5.5,1.0,[ 4 22],0.4293230219306162,23.32,0.49707999999999997
1,2,3.402,0.228,0.074,1.531,8.0,0.0,[14 12],0.6901856760188042,24.26,0.44462
2,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,22.54,0.36673
3,2,3.379,0.146,0.114,1.643,4.5,0.5,[ 6 20],0.5402041423888608,33.94,0.29352
4,2,1.869,0.022,0.265,1.648,1.0,1.0,[24  2],0.2711893730418441,47.53,-0.23364999999999997
5,3,3.283,0.401,0.113,2.066,7.0,0.3333333333333333,[ 7 16  3],0.9012262508973273,37.55,0.54059
6,2,3.414,0.306,0.041,1.633,9.0,0.0,[15 11],0.6812657296632041,43.78,0.5789300000000001
7,4,3.385,0.595,0.121,2.497,7.25,0.5,[ 3  8 11  4],1.2637352055328415,29.52,0.73143
8,4,3.391,0.569,0.162,2.55,7.25,0.25,[8 3 8 7],1.3277783620111399,28.47,0.6375599999999999
9,3,3.275,0.393,0.128,1.99,7.667,0.3333333333333333,[ 3 15  8],0.9291687604839372,35.57,0.50674
10,3,3.236,0.451,0.107,1.529,7.333,0.3333333333333333,[10 14  2],0.8981370031878679,32.88,0.59591
11,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,44.19,0.28819
12,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,38.35,0.36673
13,2,3.414,0.318,0.037,1.393,8.0,1.0,[23  3],0.3576271598532216,61.65,0.59761
14,4,2.331,0.367,0.143,2.217,4.75,0.5,[ 8 11  5  2],1.2409479127325915,31.54,0.36129
15,3,2.484,0.213,0.149,2.12,4.333,0.3333333333333333,[ 9 14  3],0.9497249735351773,34.22,0.21257000000000004
16,4,2.462,0.346,0.259,2.931,5.0,0.5,[ 8  5 11  2],1.2409479127325915,31.37,0.15967000000000003
17,4,3.313,0.528,0.151,2.563,6.5,0.5,[11  4  3  8],1.2637352055328415,31.68,0.6071300000000001
18,4,1.803,0.32,0.185,2.545,4.5,0.75,[16  5  3  2],1.062298832439512,35.82,0.19135
19,4,2.809,0.567,0.108,2.254,7.5,0.5,[ 9 11  3  3],1.2294987330669933,27.98,0.66754
20,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,47.07,0.28819
21,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,33.11,0.36673
22,3,2.261,0.179,0.245,2.25,4.0,0.3333333333333333,[ 7 17  2],0.8283929898113759,36.07,-0.0040499999999999425
23,3,2.77,0.277,0.265,2.019,5.0,0.6666666666666666,[19  2  5],0.7435648254271452,43.58,0.11145000000000005
24,4,2.737,0.376,0.223,2.616,5.5,0.25,[ 6  2  6 12],1.2309316230479221,33.15,0.27729000000000004
25,2,3.414,0.343,0.041,1.567,9.0,0.0,[19  7],0.5824922438849605,56.39,0.6159300000000001
26,2,3.605,0.243,0.126,1.611,6.5,0.5,[20  6],0.5402041423888608,62.02,0.39308
27,4,2.077,0.282,0.208,2.017,4.0,0.75,[18  2  5  1],0.8942436316591224,31.98,0.14234000000000002
28,3,3.283,0.436,0.105,2.154,8.0,0.0,[ 7 12  7],1.0634187732433902,32.01,0.5889500000000001
29,3,2.619,0.161,0.194,2.042,3.667,0.3333333333333333,[ 6  2 18],0.7902679680745903,38.32,0.09892000000000004
30,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,43.92,0.32622
31,4,2.809,0.375,0.159,2.896,5.25,0.25,[ 7 10  6  3],1.3083420897637779,35.11,0.39037000000000005
32,4,2.769,0.425,0.123,2.086,6.0,0.25,[8 8 6 4],1.3516811946858949,29.07,0.49649000000000004
33,3,3.283,0.356,0.124,2.281,7.333,0.0,[ 9  7 10],1.088010262277112,38.21,0.47722
34,3,3.283,0.354,0.152,2.269,6.667,0.0,[ 8  6 12],1.0579054247036734,32.57,0.42845999999999995
35,2,3.414,0.392,0.047,1.553,9.5,0.0,[17  9],0.6450331516760341,54.03,0.6549100000000001
36,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,34.91,0.36673
37,3,3.283,0.324,0.169,2.337,6.0,0.3333333333333333,[ 9  5 12],1.0411315166502328,35.39,0.37007
