,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,3,2.205,0.045,0.215,2.529,2.667,1.0,[67  4  3],0.37764050118148573,454.47,0.05050000000000002
1,5,1.745,0.042,0.129,3.654,0.8,0.8,[58  2  7  4  3],0.7992762509516929,632.33,0.08750000000000002
2,4,2.459,0.062,0.145,3.441,2.5,0.75,[58  8  4  4],0.7468815549056543,345.12,0.16290000000000002
3,4,1.949,0.063,0.104,2.929,2.75,0.75,[58 10  3  3],0.7213188868036098,397.1,0.15390000000000004
4,5,1.933,0.106,0.083,2.261,3.6,1.0,[32 37  3  1  1],0.9553711942388741,405.58,0.2163
5,3,2.355,0.006,0.121,2.75,0.667,0.6666666666666666,[64  4  6],0.48698061219245503,652.87,0.1205
6,4,2.442,0.067,0.138,3.445,2.5,0.5,[57  6  6  5],0.7905215059139465,506.36,0.17320000000000002
7,5,2.266,0.188,0.176,4.13,6.4,1.0,[29 37  3  2  3],1.0711798238721075,512.37,0.2386
8,5,2.231,0.114,0.097,1.897,2.8,1.0,[65  5  2  1  1],0.5098940598729966,435.41,0.24009999999999998
9,4,1.37,0.006,0.037,1.849,0.75,1.0,[67  5  1  1],0.3883678626451802,783.88,0.10600000000000001
10,4,2.643,0.344,0.133,2.988,11.5,1.0,[34 32  4  4],1.0352791254271445,428.21,0.47529999999999994
11,3,1.827,0.002,0.175,2.667,0.333,1.0,[68  4  2],0.3330110964801871,574.82,0.009700000000000014
12,4,2.429,0.104,0.084,2.804,3.75,0.5,[59  6  3  6],0.7179615839179748,555.0,0.26289999999999997
13,5,1.316,0.04,0.213,3.533,2.2,1.0,[62  4  4  2  2],0.6588586677447834,688.28,-0.04139999999999999
14,5,2.162,0.163,0.164,3.693,5.8,1.0,[24 39  5  4  2],1.1401345865125907,344.24,0.2152
15,3,2.45,0.002,0.122,2.889,0.333,0.6666666666666666,[63  4  7],0.5177943330618278,654.99,0.12500000000000003
16,5,2.024,0.016,0.106,3.905,0.4,0.6,[52  3 11  7  1],0.942460643522983,539.67,0.1124
17,3,2.351,0.004,0.096,2.905,0.667,1.0,[65  4  5],0.453692937124893,942.71,0.1431
18,5,2.436,0.101,0.16,3.715,3.6,0.8,[54 10  4  2  4],0.913421327062409,360.82,0.1846
19,3,2.193,0.032,0.189,2.533,2.333,1.0,[66  4  4],0.417476338302775,412.63,0.062299999999999994
20,3,2.607,0.071,0.105,2.458,3.0,0.6666666666666666,[62  7  5],0.5533773570102053,595.91,0.22670000000000004
21,5,1.669,0.018,0.16,3.987,0.6,1.0,[61  3  4  4  2],0.7022300684655841,552.03,0.024899999999999978
22,5,2.166,0.101,0.182,3.442,2.6,0.8,[60  2  3  7  2],0.7182479261101515,370.27,0.1356
23,3,2.285,0.036,0.154,2.796,0.667,1.0,[66  4  4],0.417476338302775,770.79,0.11050000000000001
24,5,2.581,0.166,0.139,3.798,4.0,1.0,[33  5 29  2  5],1.1889704704546766,393.75,0.2851
25,3,2.07,0.044,0.177,2.542,1.667,1.0,[67  3  4],0.37764050118148573,695.1,0.07399999999999998
26,5,1.454,0.037,0.091,2.246,1.0,1.0,[66  2  4  1  1],0.4736774610508786,313.88,0.09140000000000001
27,4,2.378,0.353,0.146,2.942,10.25,1.0,[22 45  5  2],0.9427646886523086,712.16,0.4448
28,3,1.839,0.032,0.167,2.0,1.333,1.0,[70  2  2],0.24775082745153582,605.38,0.0489
29,5,2.374,0.223,0.015,1.577,7.0,1.0,[36 30  2  3  3],1.0740573725634512,414.81,0.4454
30,5,2.051,0.079,0.142,4.129,2.6,1.0,[56  5  5  4  4],0.8904917324681091,503.61,0.1421
31,3,2.685,0.204,0.161,1.922,8.0,0.6666666666666666,[66  6  2],0.4033344965794089,546.01,0.3115
32,5,1.946,0.072,0.202,4.038,2.2,1.0,[59  3  4  3  5],0.7802982022704377,340.92,0.06459999999999999
