,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,1.409,0.325,0.114,2.265,3.75,0.5,[15  7  5  1],1.1075861665291022,113.65,0.32567999999999997
1,5,1.707,0.406,0.122,2.692,4.0,0.6,[12  3  9  3  1],1.3255768414076812,89.78,0.4266400000000001
2,4,1.804,0.325,0.097,2.157,4.5,0.5,[17  7  3  1],1.0078532688056612,84.33,0.38609000000000004
3,3,1.878,0.321,0.129,2.179,4.333,0.6666666666666666,[18  5  5],0.8993091256583479,83.29,0.35013
4,5,1.524,0.521,0.109,2.18,5.2,0.8,[15  5  4  3  1],1.2783131927042202,84.87,0.53933
5,5,2.158,0.59,0.037,2.445,6.4,0.6,[8 8 5 3 4],1.5408020623347836,82.02,0.7602899999999999
6,5,1.534,0.292,0.112,1.639,4.2,0.8,[ 2 19  4  2  1],1.037129268358,85.1,0.30764
7,3,2.109,0.225,0.096,1.921,5.333,0.6666666666666666,[19  5  4],0.8487506669319027,88.16,0.31782
8,3,2.309,0.57,0.02,1.867,9.333,0.3333333333333333,[ 5  8 15],0.9999375490272633,95.57,0.7763
9,4,1.409,0.365,0.107,1.915,4.0,0.75,[19  5  3  1],0.929084259020304,86.27,0.37429
10,4,1.096,0.105,0.179,1.918,2.5,1.0,[21  4  2  1],0.8012601173969418,90.58,-0.005569999999999978
11,4,2.206,0.456,0.116,2.696,6.0,0.5,[ 5 13  7  3],1.2497495416551323,83.54,0.5339200000000001
12,5,1.694,0.575,0.065,2.209,5.4,0.6,[10  8  4  5  1],1.4302848576741607,77.11,0.66445
13,4,1.98,0.396,0.103,2.287,4.5,0.5,[ 8  3 16  1],1.0360334832009355,98.3,0.46731000000000006
14,5,1.314,0.322,0.097,1.938,3.6,0.8,[17  5  4  1  1],1.1265975867607134,76.81,0.33409
15,4,1.691,0.307,0.052,1.706,2.75,0.5,[17  9  1  1],0.9057885085687165,77.03,0.41213999999999995
16,4,1.417,0.272,0.096,2.267,3.75,0.5,[12 10  5  1],1.157493071262098,88.67,0.29562
17,3,1.889,0.132,0.065,1.667,3.0,0.3333333333333333,[19  8  1],0.7400661909751662,82.58,0.24095
18,4,1.409,0.325,0.1,2.056,4.5,0.5,[15  8  4  1],1.0892951246590825,86.75,0.3429
19,3,2.415,0.166,0.05,1.615,3.667,0.3333333333333333,[18  6  4],0.8921178708188162,105.83,0.346
20,3,2.405,0.341,-0.026,1.364,6.0,1.0,[20  5  3],0.787287656630395,98.83,0.61348
21,5,1.353,0.487,0.083,2.189,3.8,0.6,[11 10  5  1  1],1.280422778286167,80.2,0.52021
22,5,2.328,0.434,0.061,1.903,5.6,0.6,[ 7 11  4  4  2],1.458102071094908,16837.06,0.59177
