,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,2,3.535,0.271,0.078,1.673,7.0,0.0,[12 14],0.6901856760188042,42.78,0.49424000000000007
1,2,3.414,0.265,0.041,1.841,7.0,0.5,[20  6],0.5402041423888608,73.52,0.53793
2,2,3.111,0.183,0.104,1.466,5.0,1.0,[21  5],0.4895518936229288,56.07,0.32042000000000004
3,3,3.283,0.347,0.167,2.269,6.333,0.3333333333333333,[ 7  5 14],1.003659491091816,40.66,0.39640999999999993
4,2,3.414,0.285,0.061,1.644,8.0,0.0,[16 10],0.666278442414676,63.59,0.52453
5,2,3.414,0.34,0.056,1.677,8.5,0.0,[15 11],0.6812657296632041,67.55,0.5878800000000001
6,2,3.414,0.329,0.064,1.665,8.0,0.0,[16 10],0.666278442414676,69.84,0.56352
7,2,3.379,0.14,0.128,1.643,4.5,0.5,[ 6 20],0.5402041423888608,55.13,0.26414
8,4,3.139,0.458,0.162,2.996,6.25,0.5,[8 5 4 9],1.3349072866324543,43.24,0.50136
9,3,3.275,0.405,0.121,1.695,6.667,1.0,[ 3 21  2],0.6189772142016319,47.01,0.5304300000000001
10,3,3.434,0.456,0.095,2.278,7.667,0.3333333333333333,[13 10  3],0.9632492517543757,47.29,0.64075
11,4,2.462,0.329,0.137,2.33,4.75,0.5,[ 9  5 11  1],1.1735173549838456,44.34,0.34641
12,2,3.391,0.279,0.07,1.409,7.5,0.5,[ 6 20],0.5402041423888608,69.95,0.5012000000000001
13,2,3.414,0.313,0.036,1.473,7.5,1.0,[22  4],0.4293230219306162,69.17,0.59428
14,3,3.283,0.347,0.129,2.393,6.667,0.0,[ 6 14  6],1.0100997593541636,46.7,0.45986999999999995
15,3,3.434,0.443,0.077,2.267,9.0,0.0,[14  6  6],1.0100997593541636,43.34,0.65781
16,4,3.104,0.41,0.17,2.77,6.0,0.5,[5 3 9 9],1.300670814166606,47.64,0.4365
17,3,3.283,0.347,0.167,2.269,6.333,0.3333333333333333,[ 7  5 14],1.003659491091816,50.46,0.39640999999999993
18,2,3.535,0.282,0.071,1.662,7.5,0.0,[13 13],0.6931471805599453,68.18,0.51693
19,3,2.685,0.381,0.173,1.826,6.667,1.0,[20  4  2],0.6870920273799715,56.89,0.3605900000000001
20,3,3.283,0.353,0.12,2.277,7.0,0.0,[ 6 10 10],1.0733942812811266,46.92,0.4809
21,3,3.283,0.316,0.144,2.365,6.333,0.0,[ 7  8 11],1.0798753311904068,48.65,0.40382
22,4,2.462,0.401,0.147,2.625,6.0,0.25,[8 8 6 4],1.3516811946858949,44.06,0.40171000000000007
23,4,3.012,0.446,0.149,2.667,6.5,0.5,[ 4  4 10  8],1.3061066090853948,46.0,0.4983700000000001
24,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,67.93,0.30419999999999997
25,2,3.535,0.418,0.005,1.436,11.5,0.0,[19  7],0.5824922438849605,73.15,0.76315
26,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,65.44,0.28819
27,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,48.5,0.36673
28,3,3.275,0.471,0.151,1.673,8.667,0.3333333333333333,[ 2 18  6],0.7902679680745903,57.18,0.54633
29,2,3.391,0.157,0.105,1.612,5.0,0.0,[ 7 19],0.5824922438849605,49.69,0.32075000000000004
30,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,59.62,0.28819
31,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,70.75,0.28819
32,4,3.089,0.529,0.109,1.914,7.25,0.25,[7 7 7 5],1.3768925883164018,95.75,0.65587
33,3,3.491,0.513,0.09,1.792,8.667,0.0,[ 7  9 10],1.088010262277112,121.08,0.7118
34,2,3.379,0.197,0.098,1.675,5.5,0.0,[10 16],0.666278442414676,117.4,0.37124
35,3,3.275,0.362,0.125,1.964,7.667,0.3333333333333333,[ 3 14  9],0.9497249735351774,106.73,0.48075
36,2,3.379,0.123,0.123,1.703,4.0,0.0,[ 7 19],0.5824922438849605,128.83,0.25549
37,4,3.062,0.459,0.167,2.525,6.75,0.5,[5 9 5 7],1.3546053317232447,110.28,0.48630999999999996
38,3,3.155,0.296,0.112,1.837,5.667,0.0,[ 7 13  6],1.0382400185693472,100.8,0.42446
39,2,3.605,0.213,0.15,1.64,5.5,1.0,[21  5],0.4895518936229288,127.64,0.32299999999999995
40,4,2.691,0.416,0.189,2.525,6.0,0.25,[12  6  2  6],1.2309316230479221,101.03,0.36947
41,4,1.964,0.183,0.287,2.679,3.25,0.5,[ 6  2 16  2],1.0317671113505356,99.31,-0.09988999999999995
42,4,3.062,0.451,0.136,2.428,6.75,0.25,[5 7 8 6],1.3713792397766853,98.82,0.53008
43,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,111.09,0.30419999999999997
44,4,1.97,0.198,0.289,2.49,3.25,0.75,[ 4 18  2  2],0.9371558530657009,103.51,-0.08762999999999993
45,2,3.605,0.298,0.085,1.545,9.0,0.0,[19  7],0.5824922438849605,121.57,0.51655
46,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,136.02,0.32622
47,4,2.636,0.382,0.19,2.645,5.25,0.5,[ 7 10  5  4],1.3258046541761854,105.47,0.32830000000000004
48,4,2.737,0.346,0.237,2.669,5.0,0.5,[ 6  2  5 13],1.1993126001115322,103.65,0.22391
49,4,2.737,0.346,0.237,2.669,5.0,0.5,[ 6  2  5 13],1.1993126001115322,104.8,0.22391
50,3,2.253,0.16,0.246,2.333,3.667,0.3333333333333333,[ 8 16  2],0.8587409130062867,103.51,-0.02551999999999993
51,4,2.042,0.399,0.27,2.527,6.0,0.5,[14  2  8  2],1.0905994737794789,102.41,0.1523
52,4,2.809,0.351,0.178,2.598,5.25,0.5,[ 6  3  5 12],1.2614633441368988,108.33,0.33464000000000005
53,4,2.749,0.526,0.198,2.401,6.75,0.25,[11  2  6  7],1.2529015295346553,103.66,0.47024000000000005
54,4,3.139,0.499,0.155,2.725,6.25,0.5,[8 5 4 9],1.3349072866324543,101.0,0.5540499999999999
55,3,2.253,0.15,0.163,2.329,3.667,0.3333333333333333,[ 7 16  3],0.9012262508973273,119.35,0.10308999999999999
56,4,2.809,0.499,0.178,2.246,7.0,0.5,[ 5  3 10  8],1.296388472961714,100.18,0.48264000000000007
57,3,3.283,0.365,0.104,2.344,7.667,0.0,[11  9  6],1.0695416913993137,117.32,0.51962
58,3,2.642,0.357,0.182,1.857,6.0,1.0,[20  2  4],0.6870920273799715,119.82,0.31726
59,3,3.283,0.377,0.148,2.216,7.0,0.0,[ 7  6 13],1.0382400185693474,111.98,0.45814
60,4,2.809,0.351,0.178,2.598,5.25,0.5,[ 6  3  5 12],1.2614633441368988,107.32,0.33464000000000005
61,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,127.45,0.28819
62,3,2.642,0.356,0.185,1.95,7.333,0.3333333333333333,[16  2  8],0.8587409130062869,100.52,0.31124999999999997
63,4,2.743,0.545,0.179,2.209,7.5,0.75,[ 4 15  2  5],1.1196575232405934,103.75,0.52037
