,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,3.233,0.445,0.208,2.424,5.75,0.75,[ 3 15  4  4],1.1424448160408434,20.51,0.4209400000000001
1,3,3.283,0.363,0.117,2.235,7.0,0.3333333333333333,[ 9 13  4],1.0017680654251162,23.41,0.49590999999999996
2,3,3.275,0.451,0.106,1.824,7.667,0.6666666666666666,[ 4 18  4],0.8305178252872478,30.4,0.60148
3,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,36.85,0.32622
4,3,3.299,0.435,0.118,2.229,7.667,0.0,[12  7  7],1.0634187732433902,29.34,0.56784
5,3,3.524,0.538,0.053,1.604,9.0,0.0,[ 8  8 10],1.0928305535284886,23.81,0.80189
6,3,3.283,0.315,0.154,2.328,6.333,0.0,[ 9  6 11],1.0695416913993134,24.37,0.38612
7,3,2.357,0.327,0.171,2.089,5.667,0.3333333333333333,[11 12  3],0.9699594355506201,38.93,0.27713000000000004
8,2,3.367,0.131,0.135,1.2,4.0,1.0,[ 2 24],0.2711893730418441,38.37,0.24225
9,2,3.379,0.185,0.096,1.673,5.5,0.0,[ 8 18],0.6172417697303416,46.6,0.36258
10,4,2.474,0.395,0.147,2.594,5.75,0.25,[10  6  8  2],1.2658567518727373,23.22,0.39691000000000004
11,3,3.283,0.315,0.154,2.328,6.333,0.0,[ 9  6 11],1.0695416913993134,23.78,0.38612
12,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,37.21,-0.06594
13,2,3.379,0.146,0.114,1.643,4.5,0.5,[ 6 20],0.5402041423888608,42.4,0.29352
14,2,3.535,0.342,0.054,1.581,8.5,0.0,[ 9 17],0.6450331516760341,45.98,0.6053200000000001
15,3,3.291,0.441,0.093,1.924,8.667,0.3333333333333333,[ 5 10 11],1.0484854421409806,23.84,0.61479
16,2,3.414,0.285,0.071,1.675,7.5,0.0,[14 12],0.6901856760188042,34.85,0.50783
17,3,2.642,0.296,0.171,2.104,5.333,1.0,[21  2  3],0.6189772142016319,29.56,0.27463
18,2,2.418,0.063,0.222,1.39,2.0,1.0,[24  2],0.2711893730418441,53.59,-0.06594
19,4,2.531,0.454,0.07,2.373,6.0,0.5,[12  4  9  1],1.137362751946038,25.23,0.5902000000000001
20,2,3.414,0.319,0.033,1.626,9.0,0.0,[17  9],0.6450331516760341,34.76,0.6052900000000001
21,3,3.283,0.375,0.119,2.256,7.667,0.0,[ 7 12  7],1.0634187732433902,26.05,0.50457
22,2,3.569,0.306,0.097,1.536,8.0,0.5,[ 6 20],0.5402041423888608,38.76,0.50091
23,4,1.761,0.313,0.193,2.56,4.5,0.5,[ 9 12  3  2],1.1705568372289359,22.7,0.16679
24,3,3.291,0.415,0.081,1.954,7.0,0.6666666666666666,[ 5 17  4],0.8828275435751075,31.67,0.60883
