,Partitions,BCS[-],ICP[-],SM[+],MQ[+],IFN[-],NED[-],ClassSizes,Entropy[+],WC_time[-],Loss[-]
0,4,2.964,0.414,0.185,2.689,5.25,0.5,[ 6 11  4  5],1.3073360832983871,26.89,0.40145
1,3,1.612,0.132,0.273,1.858,2.333,1.0,[21  2  3],0.6189772142016319,32.78,-0.16271000000000002
2,2,3.605,0.243,0.126,1.611,6.5,0.5,[20  6],0.5402041423888608,73.18,0.39308
3,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,66.48,0.30419999999999997
4,4,1.958,0.257,0.247,2.289,3.5,0.75,[ 4 17  2  3],1.0122528641538107,49.84,0.04031000000000004
5,4,3.139,0.478,0.141,2.62,6.25,0.25,[9 6 4 7],1.3468609034345183,50.27,0.55643
6,3,3.283,0.407,0.139,2.231,7.0,0.0,[ 8 12  6],1.0579054247036734,46.11,0.5031699999999999
7,4,3.185,0.394,0.117,2.464,6.0,0.5,[ 8  4 10  4],1.3061066090853948,47.8,0.51711
8,4,2.474,0.477,0.168,2.411,6.75,0.75,[14  5  4  3],1.1875193654342509,43.92,0.44383999999999996
9,3,3.283,0.327,0.125,2.513,6.333,0.3333333333333333,[ 8 13  5],1.0262864017672835,47.2,0.44655
10,2,3.379,0.162,0.104,1.642,5.0,0.0,[ 7 19],0.5824922438849605,71.81,0.32622
11,3,3.283,0.347,0.135,2.269,6.333,0.0,[ 7  6 13],1.0382400185693474,47.28,0.44984999999999997
12,2,3.726,0.415,0.041,1.574,10.0,0.0,[15 11],0.6812657296632041,73.32,0.71913
13,3,1.612,0.132,0.273,1.858,2.333,1.0,[21  2  3],0.6189772142016319,56.98,-0.16271000000000002
14,2,3.414,0.241,0.072,1.854,6.5,1.0,[21  5],0.4895518936229288,77.85,0.46216
15,2,3.414,0.262,0.06,1.603,9.0,0.0,[18  8],0.6172417697303416,81.35,0.5032000000000001
16,4,2.737,0.346,0.237,2.669,5.0,0.5,[ 6  2  5 13],1.1993126001115322,55.93,0.22391
17,3,3.283,0.374,0.13,2.293,6.667,0.0,[ 9  7 10],1.088010262277112,51.57,0.48519999999999996
18,3,3.423,0.51,0.108,2.018,9.0,0.3333333333333333,[15  5  6],0.9727696382494826,58.41,0.67194
19,3,3.291,0.389,0.105,2.063,7.0,0.3333333333333333,[ 4 10 12],1.0123308391031733,53.15,0.5427500000000001
20,4,2.865,0.511,0.107,2.274,7.25,0.25,[7 7 4 8],1.3571945432256114,54.94,0.6188100000000001
21,4,2.842,0.464,0.195,2.7,6.5,0.5,[11  2  8  5],1.2409479127325915,51.46,0.42255000000000004
22,2,3.379,0.139,0.113,1.695,4.5,0.0,[ 8 18],0.6172417697303416,68.0,0.28819
23,4,2.462,0.407,0.097,1.764,6.0,0.5,[ 5  9 10  2],1.2490828438192967,51.01,0.49121000000000004
24,3,3.283,0.315,0.154,2.328,6.333,0.0,[ 9  6 11],1.0695416913993134,53.41,0.38612
25,2,3.414,0.296,0.056,1.63,8.5,0.0,[15 11],0.6812657296632041,68.61,0.54388
26,3,2.642,0.329,0.192,2.042,6.0,0.3333333333333333,[12  2 12],0.9110175397125628,51.64,0.27256
27,4,2.462,0.329,0.138,2.318,4.75,0.5,[ 8  5 12  1],1.1618810882882054,52.36,0.34474000000000005
28,4,2.603,0.437,0.193,2.5,6.0,0.75,[17  2  3  4],1.0122528641538107,52.95,0.37499000000000005
29,2,3.605,0.213,0.15,1.64,5.5,1.0,[21  5],0.4895518936229288,84.06,0.32299999999999995
30,4,1.69,0.166,0.188,2.331,3.0,0.5,[ 8 15  2  1],1.0026127029794925,52.81,0.02104000000000003
31,2,3.478,0.274,0.054,1.712,7.5,0.0,[18  8],0.6172417697303416,71.23,0.53162
32,4,2.462,0.462,0.236,2.784,5.75,0.5,[12  5  7  2],1.2244913547855747,49.18,0.3140800000000001
33,4,2.462,0.399,0.169,2.652,5.25,0.5,[ 8 11  4  3],1.2637352055328415,48.1,0.36297000000000007
34,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,74.34,0.30419999999999997
35,4,2.754,0.445,0.144,2.413,6.5,0.25,[11  3  6  6],1.2898735188859793,51.73,0.47992
36,4,2.85,0.482,0.171,2.343,7.5,0.5,[10  2  9  5],1.2490828438192967,48.85,0.48143
37,4,2.737,0.346,0.237,2.669,5.0,0.5,[ 6  2  5 13],1.1993126001115322,44.59,0.22391
38,3,3.283,0.324,0.169,2.337,6.0,0.3333333333333333,[ 9  5 12],1.0411315166502328,52.4,0.37007
39,2,3.391,0.141,0.115,1.608,4.5,0.5,[ 6 20],0.5402041423888608,71.79,0.28805000000000003
40,3,3.283,0.362,0.145,2.262,6.667,0.0,[10  6 10],1.0733942812811266,44.08,0.44815
41,2,3.535,0.293,0.057,1.625,8.5,0.0,[14 12],0.6901856760188042,66.51,0.55131
42,3,3.283,0.358,0.113,2.421,7.333,0.3333333333333333,[ 6 15  5],0.9727696382494828,53.06,0.49759
43,4,2.462,0.384,0.134,2.821,5.25,0.5,[ 7 12  5  2],1.224491354785575,50.84,0.40642
44,4,1.69,0.291,0.225,2.586,3.75,0.5,[ 8 14  2  2],1.0905994737794786,53.55,0.08424999999999999
45,4,1.69,0.244,0.232,2.635,3.5,0.5,[ 7 15  2  2],1.0652229694768618,47.31,0.02555999999999997
46,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,63.05,0.30419999999999997
47,4,3.391,0.611,0.145,2.431,8.0,0.5,[ 7  4 11  4],1.293151386747313,50.27,0.7079500000000001
48,2,3.379,0.15,0.11,1.719,5.0,0.0,[ 9 17],0.6450331516760341,71.66,0.30419999999999997
49,4,3.143,0.515,0.142,2.309,7.5,0.5,[ 3 12  6  5],1.2614633441368988,48.4,0.59216
50,4,3.171,0.544,0.138,2.357,7.5,0.25,[ 4 10  6  6],1.3322449224385327,46.38,0.6306400000000001
51,4,3.139,0.456,0.122,2.384,6.25,0.25,[7 9 4 6],1.3468609034345183,52.3,0.56616
52,3,3.283,0.467,0.104,2.057,8.667,0.3333333333333333,[ 5  6 15],0.9727696382494827,55.75,0.6216200000000001
53,2,3.605,0.213,0.15,1.64,5.5,1.0,[21  5],0.4895518936229288,64.14,0.32299999999999995
54,3,3.283,0.376,0.111,2.285,7.333,0.0,[ 8 10  8],1.0928305535284886,50.87,0.51893
55,3,2.619,0.161,0.194,2.042,3.667,0.3333333333333333,[ 6  2 18],0.7902679680745903,47.34,0.09892000000000004
56,3,3.283,0.324,0.171,2.322,6.0,0.3333333333333333,[ 8  5 13],1.0262864017672835,49.4,0.36673
57,4,2.893,0.355,0.248,2.678,4.75,0.5,[ 6  2  4 14],1.1569876443452742,50.23,0.23014
58,3,2.642,0.282,0.193,2.074,6.0,0.3333333333333333,[13  2 11],0.9078086915252535,49.06,0.22388999999999998
59,2,3.414,0.238,0.069,1.697,7.5,0.0,[15 11],0.6812657296632041,69.77,0.46417
60,4,2.737,0.39,0.192,2.642,6.0,0.25,[ 6  2 10  8],1.2658567518727373,50.08,0.34306000000000003
61,3,3.177,0.493,0.078,1.797,9.0,0.0,[ 8  8 10],1.0928305535284886,55.12,0.6804399999999999
62,4,2.575,0.461,0.085,2.268,6.0,0.5,[12  9  3  2],1.1705568372289359,48.31,0.5765500000000001
